subnum,cond,sexism,angry,liking,respappr,protest
209,2,4.87,2,4.83,4.25,1
44,0,4.25,1,4.5,5.75,0
124,2,5,3,5.5,4.75,1
232,2,5.5,1,5.66,7,1
30,2,5.62,1,6.16,6.75,1
140,1,5.75,1,6,5.5,1
27,2,5.12,2,4.66,5,1
64,0,6.62,1,6.5,6.25,0
67,0,5.75,6,1,3,0
182,0,4.62,1,6.83,5.75,0
85,2,4.75,2,5,5.25,1
109,2,6.12,5,5.66,7,1
122,0,4.87,2,5.83,4.5,0
69,1,5.87,1,6.5,6.25,1
45,1,4.87,1,4.5,5,1
28,0,4.62,1,4.83,5.25,0
170,1,4.5,2,6.16,5.25,1
66,2,5.5,1,4.33,5,1
168,2,4.25,3,4.83,4.5,1
97,1,4.25,4,5,6,1
7,2,5.25,1,6.5,5.75,1
29,1,5,1,7,6,1
116,1,5.75,1,5.33,5.25,1
35,2,2.87,5,5.5,4.75,1
13,2,5.5,1,7,6.5,1
125,0,5.5,5,5.5,1.75,0
161,1,4.62,1,5,5,1
186,1,4.37,1,6.83,4.75,1
188,0,4.37,2,4.83,4.25,0
68,1,5.62,1,6.66,6.75,1
210,1,5.12,1,6,6,1
115,1,4.37,1,6.33,4.75,1
79,0,4.75,4,5.33,1.75,0
56,2,4.62,1,5.5,4.75,1
54,1,5.12,2,5.83,5.75,1
154,2,4.5,6,5.83,5.5,1
62,2,5.37,1,6.83,5.5,1
187,2,4.75,1,5.5,6.25,1
41,1,4.87,2,5.33,5.25,1
174,0,5.12,1,5.33,5.75,0
191,2,5.37,1,7,6.25,1
163,2,4,1,4.83,4.25,1
103,0,5.62,1,6.16,5.5,0
224,0,4.25,5,5.5,2.5,0
128,0,6.37,4,4.83,2,0
12,1,5.25,2,6.33,6,1
90,0,6,4,6,3.5,0
100,2,4.62,1,5.16,5.25,1
110,1,4.37,2,5.83,5.25,1
63,2,6.12,1,7,5.75,1
21,2,3.62,1,6.33,6,1
104,1,6,1,6.33,6.25,1
73,1,7,1,6.33,6.75,1
118,1,5.87,2,5.66,5.5,1
227,0,5.5,1,5.33,5,0
206,0,5.12,6,5.5,3,0
147,2,3.75,1,4.66,3.75,1
183,1,5.25,4,4.66,4,1
108,1,3.87,3,3.83,2.5,1
9,1,5.5,1,6.83,4.5,1
22,1,6.37,1,6.83,5.75,1
117,2,5.25,1,7,6.5,1
208,1,5.5,1,5.16,5,1
121,0,4,1,6.83,4.75,0
77,1,5.87,2,6.33,6.5,1
102,2,4.87,1,5.5,5.75,1
169,1,4.87,1,6.66,5.5,1
173,1,3.5,2,5.16,5.25,1
94,2,4.12,1,6.33,5.5,1
87,0,5.5,1,4.16,5,0
101,0,4,2,6,4.75,0
202,2,5.12,1,6.5,6.25,1
98,1,4.62,1,6.33,6.5,1
239,0,5.87,6,3.66,2.5,0
184,0,5,5,5.16,4,0
40,1,4.87,2,4.16,1.75,1
211,2,5.75,1,5.83,5.25,1
198,0,5.25,5,5.16,2.25,0
240,0,4.75,1,7,1.5,0
59,2,4.37,4,4,3.5,1
11,2,4.5,1,6.5,6.25,1
111,0,4.12,1,6.5,4.5,0
32,1,6.5,1,6.33,4.25,1
113,0,6.5,1,7,3.25,0
176,2,4,2,5.66,5.75,1
175,2,4.25,1,6.5,6.5,1
229,1,4.75,2,5.66,3.25,1
222,1,5.5,2,5.66,5.75,1
88,1,4.75,1,6.33,4.5,1
195,0,4.25,2,5.83,3.5,0
134,1,6,1,6.66,5.5,1
197,2,4.5,3,5.16,5.75,1
70,1,5.75,1,5,5,1
71,0,4.25,5,5,6,0
166,1,4.62,1,4.5,5,1
16,1,5.62,5,5.16,4.5,1
78,2,5,6,6.83,6.5,1
139,0,6.5,7,2.33,1.5,0
204,0,5.12,5,5.33,3,0
37,0,5.62,1,6.66,5.25,0
42,2,5.5,1,7,7,1
123,1,6.5,2,6,5.25,1
155,1,4.25,1,5.66,5.5,1
48,2,6,1,6.5,6,1
65,0,4.25,1,4.83,3.5,0
223,0,4.75,5,6.5,4,0
114,2,4.75,1,3.66,5.25,1
135,2,6,1,6,4,1
96,2,4.5,2,6,5.75,1
81,2,6.25,1,7,3.75,1
137,2,6.62,1,5,5,1
236,0,4.5,4,4.5,2.75,0
200,0,4.62,5,4.5,3.25,0
185,2,5.75,1,5.83,6.25,1
180,2,5.12,2,4.5,5.75,1
72,2,5.37,4,4,3.75,1
203,1,6.37,1,7,6.5,1
156,0,6.37,6,4.66,1.75,0
167,0,4.75,2,6.16,5.75,0
107,2,5,1,7,6,1
172,0,4.12,1,7,6,0
38,0,5.87,6,2.33,2.75,0
199,2,7,1,6.33,5.5,1
89,1,5.5,1,6.83,4,1
201,0,5,2,6.16,5,0
60,0,4.37,5,4.66,2.5,0
220,0,5.25,1,6,4.75,0
99,1,5.25,1,4.83,4.25,1
190,1,5.37,1,6,3.5,1
